source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
6ac46dbb-5f94-e511-814c-000c2902c387	Pestivirus suis	RG1	3052625	Orthopestivirus suis	Orthopestivirus suis
6b1f072d-6094-e511-814c-000c2902c387	Capripoxvirus sheeppox	RG1	3427719	Capripoxvirus sheeppox	Capripoxvirus sheeppox
6b24c0ce-fbe3-e711-8113-0050568253d3	Alphabaculovirus spofrugiperdae	RG1	3048335	Alphabaculovirus spofrugiperdae	Spodoptera frugiperda multiple nucleopolyhedrovirus
6b6fe2bc-8556-ef11-8178-0050568253d3	Alphainfluenzavirus influenzae H3N8 (equine)	RG2	119211	H3N8 subtype	Alphainfluenzavirus influenzae H3N8 (equine)
6b6fe2bc-8556-ef11-8178-0050568253d3	Alphainfluenzavirus influenzae H3N8 (equine)	RG2	119211	H3N8 subtype	Influenza A virus H3N8
6b6fe2bc-8556-ef11-8178-0050568253d3	Alphainfluenzavirus influenzae H3N8 (equine)	RG2	119211	H3N8 subtype	Influenza A virus H3N8 (equine)
6bcbeb44-6094-e511-814c-000c2902c387	Orthoflavivirus flavi (Yellow fever virus vaccine strain 17D)	RG2	3046277	Orthoflavivirus flavi	Orthoflavivirus flavi (Yellow fever virus vaccine strain 17D)
6c3647eb-5f94-e511-814c-000c2902c387	Juquitiba virus	RG3	430511	Juquitiba virus	Juquitiba virus
6c5bf33e-6094-e511-814c-000c2902c387	Siadenovirus gallopavotertii	RG1	3241306	Siadenovirus gallopavotertii	Siadenovirus gallopavotertii
6c5bf33e-6094-e511-814c-000c2902c387	Siadenovirus gallopavotertii	RG1	3241306	Siadenovirus gallopavotertii	Turkey adenovirus
6c5bf33e-6094-e511-814c-000c2902c387	Siadenovirus gallopavotertii	RG1	3241306	Siadenovirus gallopavotertii	Turkey hemorrhagic enteritis virus
6c5bf33e-6094-e511-814c-000c2902c387	Siadenovirus gallopavotertii	RG1	41678	Turkey adenovirus 3	Marble Spleen Disease virus
6c7a9f5c-bbb8-ef11-817d-0050568252cc	Alphainfluenzavirus influenzae H7N8	RG3	119217	H7N8 subtype	Alphainfluenzavirus influenzae H7N8
6c8cbf64-fae3-e711-8113-0050568253d3	Alphabaculovirus mabrassicae	RG1	3048194	Alphabaculovirus mabrassicae	Mamestra brassicae multiple nuclear polyhedrosis virus
6c8cbf64-fae3-e711-8113-0050568253d3	Alphabaculovirus mabrassicae	RG1	3048194	Alphabaculovirus mabrassicae	Mamestra brassicae multiple nucleopolyhedrovirus
6d702a09-6094-e511-814c-000c2902c387	Ledantevirus nkolbisson	RG2	1978533	Ledantevirus nkolbisson	Nkolbisson ledantevirus
6d702a09-6094-e511-814c-000c2902c387	Ledantevirus nkolbisson	RG2	1978533	Ledantevirus nkolbisson	Nkolbisson virus
6daa899d-5f94-e511-814c-000c2902c387	Ephemerovirus adelaide	RG2	1972589	Ephemerovirus adelaide	Adelaide River ephemerovirus
6daa899d-5f94-e511-814c-000c2902c387	Ephemerovirus adelaide	RG2	1972589	Ephemerovirus adelaide	Adelaide River virus
6def88c4-231e-e811-8116-0050568253d3	Metaavulavirus hongkongense	RG1	2560316	avian paramyxovirus 6	Avian avulavirus 6
6def88c4-231e-e811-8116-0050568253d3	Metaavulavirus hongkongense	RG1	3051372	Metaavulavirus hongkongense	Avian paramyxovirus 6
